GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
MLBPortal,com.mlb.mlbportal.security,UserPrincipal,0,20,0,0,0,7,0,4,0,4
MLBPortal,com.mlb.mlbportal.security,TestSecurityConfig,0,63,0,0,0,13,0,5,0,5
MLBPortal,com.mlb.mlbportal.security,CSRFHandlerConfiguration,0,10,0,0,0,3,0,2,0,2
MLBPortal,com.mlb.mlbportal.security,SecurityUserDetails,18,31,1,1,2,7,2,2,1,2
MLBPortal,com.mlb.mlbportal.security,WebSecurityConfig,0,142,0,0,0,28,0,8,0,8
MLBPortal,com.mlb.mlbportal.security,CSRFHandlerInterceptor,13,6,3,1,3,3,2,2,0,2
MLBPortal,com.mlb.mlbportal.dto.team,TeamSummary,0,15,0,0,0,1,0,1,0,1
MLBPortal,com.mlb.mlbportal.dto.team,TeamDTO,0,33,0,0,0,1,0,1,0,1
MLBPortal,com.mlb.mlbportal.dto.team,TeamInitDTO,21,0,0,0,1,0,1,0,1,0
MLBPortal,com.mlb.mlbportal.configuration,TimeConfig,0,7,0,0,0,2,0,2,0,2
MLBPortal,com.mlb.mlbportal.handler,UserAlreadyExistsException,0,4,0,0,0,2,0,1,0,1
MLBPortal,com.mlb.mlbportal.handler,GlobalHandler,15,120,3,3,2,20,4,9,1,9
MLBPortal,com.mlb.mlbportal.services,TeamService,1,280,1,17,0,63,1,18,0,10
MLBPortal,com.mlb.mlbportal.services,EmailService,3,117,1,1,0,26,1,7,0,7
MLBPortal,com.mlb.mlbportal.services,MatchService,0,119,1,7,0,27,1,7,0,4
MLBPortal,com.mlb.mlbportal.services,UserService,15,148,2,10,3,34,3,10,1,6
MLBPortal,com.mlb.mlbportal.models.enums,Division,0,21,0,0,0,4,0,1,0,1
MLBPortal,com.mlb.mlbportal.models.enums,League,0,15,0,0,0,3,0,1,0,1
MLBPortal,com.mlb.mlbportal.models.enums,MatchStatus,0,21,0,0,0,4,0,1,0,1
MLBPortal,com.mlb.mlbportal.dto.match,MatchDTO,0,21,0,0,0,1,0,1,0,1
MLBPortal,com.mlb.mlbportal.mappers,MatchMapperImpl,31,53,5,1,8,16,4,2,1,2
MLBPortal,com.mlb.mlbportal.mappers,TeamMapperImpl,48,130,5,5,15,41,5,5,1,4
MLBPortal,com.mlb.mlbportal.mappers,TeamMapper,28,0,0,0,5,0,3,0,3,0
MLBPortal,com.mlb.mlbportal.mappers,UserMapperImpl,22,50,4,4,8,14,4,4,1,3
MLBPortal,com.mlb.mlbportal.mappers,AuthenticationMapperImpl,49,29,7,1,17,10,6,2,2,2
MLBPortal,com.mlb.mlbportal.security.jwt,UserLoginService,47,129,0,0,10,32,1,6,1,6
MLBPortal,com.mlb.mlbportal.security.jwt,AuthResponse.Status,0,15,0,0,0,2,0,1,0,1
MLBPortal,com.mlb.mlbportal.security.jwt,JwtTokenProvider,91,76,12,2,17,19,9,6,2,6
MLBPortal,com.mlb.mlbportal.security.jwt,AuthResponse,36,18,0,0,14,7,6,4,6,4
MLBPortal,com.mlb.mlbportal.security.jwt,UnauthorizedHandlerJwt,23,7,0,0,3,2,1,2,1,2
MLBPortal,com.mlb.mlbportal.security.jwt,TokenType,0,32,0,0,0,7,0,2,0,2
MLBPortal,com.mlb.mlbportal.security.jwt,LoginRequest,6,12,0,0,1,5,1,2,1,2
MLBPortal,com.mlb.mlbportal.security.jwt,JwtRequestFilter,31,15,0,0,7,7,0,2,0,2
MLBPortal,com.mlb.mlbportal.controllers,MatchController,15,0,0,0,5,0,2,0,2,0
MLBPortal,com.mlb.mlbportal.controllers,TeamController,0,20,0,0,0,7,0,3,0,3
MLBPortal,com.mlb.mlbportal.controllers,AuthController,13,77,0,2,2,15,2,7,2,6
MLBPortal,com.mlb.mlbportal.controllers,UserController,0,10,0,0,0,4,0,2,0,2
MLBPortal,com.mlb.mlbportal.controllers,InitController,389,0,24,0,89,0,21,0,9,0
MLBPortal,com.mlb.mlbportal.dto.user,UserRole,0,9,0,0,0,1,0,1,0,1
MLBPortal,com.mlb.mlbportal.dto.user,ShowUser,0,9,0,0,0,1,0,1,0,1
MLBPortal,com.mlb.mlbportal.models,Match,225,307,38,34,0,9,37,32,4,29
MLBPortal,com.mlb.mlbportal.models,Team,334,953,90,130,1,26,78,86,6,48
MLBPortal,com.mlb.mlbportal.models,PasswordResetToken,115,241,14,26,0,6,15,32,5,22
MLBPortal,com.mlb.mlbportal.models,UserEntity,162,546,36,70,6,13,34,58,6,33
MLBPortal,com.mlb.mlbportal,MlbPortalApplication,8,0,0,0,3,0,2,0,2,0
MLBPortal,com.mlb.mlbportal.dto.authentication,ForgotPasswordRequest,0,6,0,0,0,1,0,1,0,1
MLBPortal,com.mlb.mlbportal.dto.authentication,ResetPasswordRequest,0,9,0,0,0,1,0,1,0,1
MLBPortal,com.mlb.mlbportal.dto.authentication,RegisterRequest,0,12,0,0,0,1,0,1,0,1
MLBPortal,com.mlb.mlbportal.handler.notFound,TeamNotFoundException,4,0,0,0,2,0,1,0,1,0
MLBPortal,com.mlb.mlbportal.handler.notFound,UserNotFoundException,0,4,0,0,0,2,0,1,0,1
MLBPortal,com.mlb.mlbportal.handler.notFound,ResourceNotFoundException,0,4,0,0,0,2,0,1,0,1
